"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/16/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/17/2022","AQS","320030561","1","0.7","ppm","8","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/18/2022","AQS","320030561","1","1","ppm","11","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/19/2022","AQS","320030561","1","1.4","ppm","16","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/20/2022","AQS","320030561","1","1.9","ppm","22","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/21/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/22/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/23/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/24/2022","AQS","320030561","1","0.5","ppm","6","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/25/2022","AQS","320030561","1","0.6","ppm","7","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/26/2022","AQS","320030561","1","0.7","ppm","8","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/27/2022","AQS","320030561","1","1","ppm","11","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"02/28/2022","AQS","320030561","1","1","ppm","11","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/01/2022","AQS","320030561","1","1","ppm","11","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/02/2022","AQS","320030561","1","1.3","ppm","15","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/03/2022","AQS","320030561","1","1.3","ppm","15","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/04/2022","AQS","320030561","1","0.4","ppm","5","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/05/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/06/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/07/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/08/2022","AQS","320030561","1","0.5","ppm","6","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/09/2022","AQS","320030561","1","0.8","ppm","9","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/10/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/11/2022","AQS","320030561","1","0.7","ppm","8","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/12/2022","AQS","320030561","1","1.2","ppm","14","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/13/2022","AQS","320030561","1","1.4","ppm","16","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/14/2022","AQS","320030561","1","0.6","ppm","7","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/15/2022","AQS","320030561","1","1","ppm","11","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/16/2022","AQS","320030561","1","0.4","ppm","5","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/17/2022","AQS","320030561","1","0.5","ppm","6","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/18/2022","AQS","320030561","1","1.1","ppm","13","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/19/2022","AQS","320030561","1","1.1","ppm","13","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/20/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/21/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/22/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/23/2022","AQS","320030561","1","0.6","ppm","7","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/24/2022","AQS","320030561","1","1.1","ppm","13","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/25/2022","AQS","320030561","1","1.1","ppm","13","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/26/2022","AQS","320030561","1","0.9","ppm","10","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/27/2022","AQS","320030561","1","0.7","ppm","8","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/28/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/29/2022","AQS","320030561","1","0.4","ppm","5","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/30/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"03/31/2022","AQS","320030561","1","0.4","ppm","5","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/01/2022","AQS","320030561","1","0.5","ppm","6","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/02/2022","AQS","320030561","1","0.9","ppm","10","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/03/2022","AQS","320030561","1","0.5","ppm","6","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/04/2022","AQS","320030561","1","0.8","ppm","9","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/05/2022","AQS","320030561","1","0.6","ppm","7","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/06/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","17","71.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/07/2022","AQS","320030561","1","0.4","ppm","5","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/08/2022","AQS","320030561","1","0.8","ppm","9","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/09/2022","AQS","320030561","1","1.1","ppm","13","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/10/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/11/2022","AQS","320030561","1","0.6","ppm","7","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/12/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/13/2022","AQS","320030561","1","0.4","ppm","5","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/14/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/15/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/16/2022","AQS","320030561","1","0.1","ppm","1","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/17/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/18/2022","AQS","320030561","1","0.5","ppm","6","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/19/2022","AQS","320030561","1","0.1","ppm","1","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/20/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/21/2022","AQS","320030561","1","0.1","ppm","1","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/22/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/23/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/24/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/25/2022","AQS","320030561","1","0.5","ppm","6","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/26/2022","AQS","320030561","1","0.7","ppm","8","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/27/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","19","79.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/28/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/29/2022","AQS","320030561","1","0.5","ppm","6","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"04/30/2022","AQS","320030561","1","0.7","ppm","8","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"05/01/2022","AQS","320030561","1","0.1","ppm","1","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"05/02/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"05/03/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"05/04/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"05/05/2022","AQS","320030561","1","0.4","ppm","5","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"05/06/2022","AQS","320030561","1","0.3","ppm","3","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"05/07/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
"05/08/2022","AQS","320030561","1","0.2","ppm","2","Sunrise Acres","24","100.0000","42101","Carbon monoxide","093","29820","Las Vegas-Henderson-Paradise, NV","32","Nevada","003","Clark","36.163962","-115.11393"
